id,mahkeme,daire,esas,karar,tarih,group,domain,era,compositeScore,uniquenessScore,qualityScore,sourceScore,ratioOzeti
"77625700","Yargıtay","Hukuk Genel Kurulu","2013/185","2013/1601","27.11.2013","hgk","aile","y2010_2019","0.966","1","1","0.95","fıkrası gereğince hakimin anlaşmalı boşanmaya karar verebilmesi için, anılan fıkrada öngörülen tüm koşulların gerçekleşmiş bulunması gerekir. Hukuk Genel Kurulu önüne gelen uyuşmazlık tarafların anlaşmalı boşanma davası sırasında düzenledikleri protokolde yer alan ""tarafların mal talepleri yoktur"" şeklindeki ifadenin, eşler arasında ""mal rejiminden kaynaklanan alacak"" isteklerini de kapsayıp kapsamayacağı noktasında toplanmaktadır."
"77425900","Yargıtay","Hukuk Genel Kurulu","2012/1616","2013/854","19.06.2013","hgk","is_sgk","y2010_2019","0.949","0.923","1","0.95","sayılı davada talep uyarınca, toplam alacağın %10'una tekabül eden kısım karşılığına hükmedilmesine ilişkin kararın kesinleştiğini, davalı işverenin %60 kusur oranı dikkate alındığında, kusur oranı farkı nedeniyle toplam 90.300,06 TL'nin daha 506 sayılı Kanunun 26.maddesi uyarınca rücuan tazminini talep etmiştir. vekili cevap dilekçesinde özetle; Bakanlar Kurulunun 09.10.1991 tarihli kararına istinaden Enerji Bakanlığı ile....EDAŞ arasında 22.09.2000 tarihinde imzalanan Uygul"
"76966600","Yargıtay","Ceza Genel Kurulu","2010/189","2010/237","23.11.2010","cgk","ceza_ozel","y2010_2019","0.939","1","0.928","0.95","Öğretide yer alan yaygın görüşe göre; mahkemelerin bağımsızlığı ve hakimlik teminatı esaslarına nazaran, kural olarak Devletin yargılama faaliyetinden dolayı mali sorumluluğu kabul edilmemekte, ancak yasa ile düzenleme yapılması halinde tazminat verilebileceği belirtilmek&not;tedir. madde&not;sinde de kişilerin özgürlüğünün hangi hallerde sınırlandırılabileceği belirlenmiş ve maddenin son fıkrasında bu koşullara aykırı davranılması halinde mağdur olan herkesin tazminat isteme"
"77425200","Yargıtay","Hukuk Genel Kurulu","2012/1684","2013/853","19.06.2013","hgk","is_sgk","y2010_2019","0.937","0.927","0.965","0.95","O halde, Hukuk Genel Kurulu'nca da benimsenen Özel Daire bozma kararına uyulmak gerekirken, önceki kararda direnilmesi usul ve yasaya aykırıdır. Fiili bir olgu sözkonusu olduğundan, kural olarak işçi, fazla çalışma yaptığını her türlü delille, bu bağlamda tanıkla da ispat edebilir."
"17160000","Yargıtay","Hukuk Genel Kurulu","2011/542","2011/694","23.11.2011","hgk","is_sgk","y2010_2019","0.93","0.916","0.953","0.95","Buna göre, gerek Özel Hukuk ve gerekse Kamu Hukuku alanında, kural olarak her Kanun, ancak yürürlüğe girdiği tarihten sonraki zamanda meydana gelen olaylara ve ilişkilere uygulanır; o tarihten önceki zamana rastlayan olaylara ve ilişkilere uygulanmaz. Ancak, toplum barışının temel dayanağı olan hukuka ve özellikle kanunlara karşı güveni sağlamak ve hatta kanun koyucunun keyfi hareketlerine engel olmak için, öğretide kanunların geriye yürümemesi esası kabul edilmiştir."
"404247200","Yargıtay","Büyük Genel Kurulu","2017/1","2017/9","08.12.2017","yibk","usul_hukuk","y2010_2019","0.925","1","0.849","1","Hukuk Mahkemesine ait 2002/360 esas sayılı dosyanın 17.05.2011 günlü celsesinde öğrendiklerini savunmuşlar ise de 2802 sayılı Kanun’un 93/A madde metni hükmün kesinleşme tarihini sürenin başlangıcı olarak kabul etmesi karşısında kesinleşmenin sonradan öğrenilmesinin davacılara hak kazandırmayacağından bir yıllık sürenin geçmesinden sonra açılan bu davanın reddine ilişkin verilen onama kararının doğru olduğu kabul edilmiştir. Bu gerekçelerle; 5271 sayılı Ceza Muhakemesi Kanunu"
"87780900","Yargıtay","Ceza Genel Kurulu","2012/534","2013/15","22.01.2013","cgk","ticaret","y2010_2019","0.92","0.945","0.909","0.95","maddesi uyarınca tedavi ve denetimli serbestlik tedbirinin uygulanmasına karar verildiği ve bu kararın Cumhuriyet savcısı tarafından eylemin uyuşturucu madde ticareti suçunu oluşturacağı görüşüyle aleyhe temyiz edildiği göz önüne alındığında, öncelikle hükmün temyizen incelenmesinin mümkün olup olmadığı değerlendirilmelidir. Ancak, bunun için kişi hakkında bu suç nedeniyle önceden tedavi ve denetimli serbestlik tedbirine karar verilmemiş olması gerekir."
"77096600","Yargıtay","Hukuk Genel Kurulu","2011/787","2012/92","22.02.2011","hgk","miras","y2010_2019","0.919","0.908","0.928","0.95","Bu düzenlemenin hukuki nitelikçe hangi sorumluluğa ilişkin bulunduğuna gelince; 
Özellikle endüstri devrimiyle birlikte ortaya çıkan teknik buluşlar ve makineleşme zarar tehlikesini arttırmış ve artan bu zarar tehlikesini önlemek için kusura dayanan sorumluluğun her zaman yeterli olmayacağı öngörülerek tehlikeli faaliyette bulunanların sebep oldukları zararları gidermesi kabul edilmiştir (Fikret Eren, a.g.e, s. İşletilme halinde olmayan bir motorlu aracın sebep olduğu trafik "
"77178600","Yargıtay","Hukuk Genel Kurulu","2010/659","2010/682","22.12.2010","hgk","usul_hukuk","y2010_2019","0.918","0.904","0.928","0.95","Davanın yasal dayanağını oluşturan 6570 Sayılı Yasanın 7/b ve c maddeleri uyarınca ihtiyaç iddiasına dayalı olarak açılacak davalarda dava hakkı kural olarak kiralayana aittir. Eş söyleyişle, mal sahibinin tarafı durumunda bulunmadığı bir kira sözleşmesi yapılabilir ve kural olarak o sözleşmeden doğan hak ve borçlar, sözleşmenin taraflarına ait olur."
"77096400","Yargıtay","Hukuk Genel Kurulu","2011/221","2011/458","29.06.2011","hgk","usul_hukuk","y2010_2019","0.911","0.84","0.946","0.95","Aynı Kanunun Geçici Madde 2/2 de ise, 
""&hellip;H&acirc;kimler ve Savcılar Kanununa bu Kanunla eklenen 93/A maddesi&hellip; hükümleri bu Kanun yürürlüğe girdiği tarihte;
a) Görülmekte olan davalar, 
b) Kesinleşmemiş hükümler, 
c) Miktar veya değeri itibarıyla temyiz veya karar düzeltme yoluna gidilemediği için kesinleşen hükümler, 
bakımından da uygulanır ve davaya Devlet aleyhine devam olunur&hellip;"" düzenlemesine yer verilmiştir. Davalılar vekilinin temyizi üzerine Hukuk G"
